TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,95.514347001,0.0880919994,95.55036605,0.0880696437,95.377752697,95.722979404,0.075847001,0.0645760504,-0.108037303,0.2371894038,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-719,95.5140751,0.0880909677,95.550104937,0.0880686167,95.377493597,95.722716278,0.0755751004,0.0643149373,-0.108296403,0.2369262778,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-718,95.5138032,0.0880899426,95.549843824,0.0880675962,95.377234484,95.722453165,0.0753031998,0.0640538242,-0.108555516,0.2366631646,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-717,95.513531299,0.088088924,95.549582711,0.0880665823,95.376975358,95.722190064,0.0750312992,0.0637927112,-0.108814642,0.2364000642,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-716,95.513259399,0.088087912,95.549321598,0.0880655748,95.37671622,95.721926977,0.0747593986,0.0635315981,-0.10907378,0.2361369766,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-715,95.512987498,0.0880869065,95.549060485,0.0880645739,95.376457068,95.721663902,0.074487498,0.063270485,-0.109332932,0.2358739018,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-714,95.512715597,0.0880859075,95.548799372,0.0880635796,95.376197904,95.72140084,0.0742155974,0.0630093719,-0.109592096,0.2356108398,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-713,95.512443697,0.0880849151,95.548538259,0.0880625917,95.375938727,95.721137791,0.0739436968,0.0627482589,-0.109851273,0.2353477906,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-712,95.512171796,0.0880839293,95.548277146,0.0880616104,95.375679537,95.720874754,0.0736717962,0.0624871458,-0.110110463,0.2350847542,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-711,95.511899896,0.0880829499,95.548016033,0.0880606356,95.375420335,95.720611731,0.0733998956,0.0622260327,-0.110369665,0.2348217306,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-710,95.511627995,0.0880819771,95.54775492,0.0880596674,95.37516112,95.72034872,0.0731279949,0.0619649196,-0.11062888,0.2345587198,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-709,95.511356094,0.0880810109,95.547493807,0.0880587056,95.374901891,95.720085722,0.0728560943,0.0617038066,-0.110888109,0.2342957217,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-708,95.511084194,0.0880800512,95.547232693,0.0880577504,95.37464265,95.719822737,0.0725841937,0.0614426935,-0.11114735,0.2340327365,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-707,95.510812293,0.0880790981,95.54697158,0.0880568018,95.374383397,95.719559764,0.0723122931,0.0611815804,-0.111406603,0.2337697641,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-706,95.510540393,0.0880781514,95.546710467,0.0880558596,95.37412413,95.719296804,0.0720403925,0.0609204673,-0.11166587,0.2335068045,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-705,95.510268492,0.0880772114,95.546449354,0.088054924,95.373864851,95.719033858,0.0717684919,0.0606593543,-0.111925149,0.2332438577,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-704,95.509996591,0.0880762778,95.546188241,0.088053995,95.373605559,95.718770924,0.0714965913,0.0603982412,-0.112184441,0.2329809236,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-703,95.509724691,0.0880753509,95.545927128,0.0880530724,95.373346254,95.718508002,0.0712246907,0.0601371281,-0.112443746,0.2327180024,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-702,95.50945279,0.0880744304,95.545666015,0.0880521564,95.373086936,95.718245094,0.0709527901,0.059876015,-0.112703064,0.232455094,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-701,95.50918089,0.0880735165,95.545404902,0.0880512469,95.372827606,95.717982198,0.0706808895,0.059614902,-0.112962394,0.2321921984,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-700,95.508908989,0.0880726092,95.545143789,0.088050344,95.372568262,95.717719316,0.0704089889,0.0593537889,-0.113221738,0.2319293155,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-699,95.508637088,0.0880717084,95.544882676,0.0880494476,95.372308906,95.717456446,0.0701370883,0.0590926758,-0.113481094,0.2316664455,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
