wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,94.597151458,0.4673698586,94.628532073,0.4668428483,93.713536779,95.543527367,95.200910564,96.400912472,-1.172361123,-1.172379445,-2.087374739,-0.257384151,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-719,94.598172985,0.4653139377,94.629540293,0.4647894091,93.718569666,95.54051092,95.200910564,96.400912472,-1.171339596,-1.171371225,-2.082341852,-0.260400598,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-718,94.599194512,0.4632619884,94.630548513,0.4627399373,93.723594778,95.537502249,95.200910564,96.400912472,-1.170318069,-1.170363005,-2.07731674,-0.263409269,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-717,94.600216039,0.4612140635,94.631556733,0.4606944859,93.72861201,95.534501457,95.200910564,96.400912472,-1.169296542,-1.169354784,-2.072299508,-0.266410061,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-716,94.601237565,0.459170217,94.632564954,0.4586531085,93.733621257,95.531508651,95.200910564,96.400912472,-1.168275016,-1.168346564,-2.067290261,-0.269402867,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-715,94.602259092,0.4571305036,94.633573174,0.4566158598,93.738622411,95.528523936,95.200910564,96.400912472,-1.167253489,-1.167338344,-2.062289106,-0.272387582,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-714,94.603280619,0.4550949788,94.634581394,0.4545827953,93.743615365,95.525547423,95.200910564,96.400912472,-1.166231962,-1.166330124,-2.057296153,-0.275364095,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-713,94.604302146,0.453063699,94.635589614,0.4525539715,93.748600007,95.522579221,95.200910564,96.400912472,-1.165210435,-1.165321904,-2.05231151,-0.278332297,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-712,94.605323673,0.4510367217,94.636597834,0.4505294456,93.753576226,95.519619442,95.200910564,96.400912472,-1.164188909,-1.164313684,-2.047335292,-0.281292076,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-711,94.606345199,0.4490141052,94.637606054,0.4485092758,93.758543907,95.516668202,95.200910564,96.400912472,-1.163167382,-1.163305464,-2.042367611,-0.284243316,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-710,94.607366726,0.4469959085,94.638614274,0.4464935213,93.763502934,95.513725615,95.200910564,96.400912472,-1.162145855,-1.162297244,-2.037408584,-0.287185903,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-709,94.608388253,0.4449821918,94.639622494,0.444482242,93.768453189,95.5107918,95.200910564,96.400912472,-1.161124328,-1.161289023,-2.032458329,-0.290119718,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-708,94.60940978,0.4429730163,94.640630715,0.4424754991,93.773394554,95.507866876,95.200910564,96.400912472,-1.160102802,-1.160280803,-2.027516964,-0.293044642,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-707,94.610431306,0.4409684441,94.641638935,0.4404733546,93.778326905,95.504950964,95.200910564,96.400912472,-1.159081275,-1.159272583,-2.022584612,-0.295960554,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-706,94.611452833,0.438968538,94.642647155,0.4384758714,93.783250121,95.502044188,95.200910564,96.400912472,-1.158059748,-1.158264363,-2.017661397,-0.298867329,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-705,94.61247436,0.4369733624,94.643655375,0.4364831135,93.788164076,95.499146674,95.200910564,96.400912472,-1.157038221,-1.157256143,-2.012747442,-0.301764844,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
