TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,14.253023322,0.3501637185,13.479974358,0.3481983774,12.797517934,14.162430783,13.037042425,14.382390388,-0.28085539,-0.229742048,-0.912198473,0.4527143763,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-719,1,14.254422966,0.3500884099,13.481166493,0.348123028,12.798857751,14.163475236,13.037042425,14.382390388,-0.279455746,-0.228549913,-0.910858656,0.4537588293,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-718,1,14.255822611,0.350013563,13.482358629,0.3480481406,12.800196663,14.164520595,13.037042425,14.382390388,-0.278056101,-0.227357778,-0.909519744,0.4548041878,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-717,1,14.257222255,0.3499391782,13.483550764,0.3479737156,12.801534668,14.165566859,13.037042425,14.382390388,-0.276656457,-0.226165643,-0.908181739,0.4558504525,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-716,1,14.258621899,0.3498652558,13.484742899,0.3478997531,12.802871767,14.166614031,13.037042425,14.382390388,-0.275256813,-0.224973508,-0.90684464,0.4568976239,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-715,1,14.260021544,0.3497917961,13.485935034,0.3478262536,12.804207959,14.167662109,13.037042425,14.382390388,-0.273857169,-0.223781373,-0.905508448,0.4579457025,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-714,1,14.261421188,0.3497187993,13.487127169,0.3477532173,12.805543242,14.168711096,13.037042425,14.382390388,-0.272457524,-0.222589238,-0.904173164,0.4589946891,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-713,1,14.262820832,0.3496462658,13.488319304,0.3476806445,12.806877618,14.169760991,13.037042425,14.382390388,-0.27105788,-0.221397102,-0.902838789,0.4600445841,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-712,1,14.264220476,0.3495741958,13.489511439,0.3476085354,12.808211084,14.170811795,13.037042425,14.382390388,-0.269658236,-0.220204967,-0.901505323,0.4610953881,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-711,1,14.265620121,0.3495025897,13.490703575,0.3475368905,12.809543641,14.171863508,13.037042425,14.382390388,-0.268258591,-0.219012832,-0.900172766,0.4621471016,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-710,1,14.267019765,0.3494314477,13.49189571,0.3474657099,12.810875287,14.172916132,13.037042425,14.382390388,-0.266858947,-0.217820697,-0.89884112,0.4631997254,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-709,1,14.268419409,0.3493607701,13.493087845,0.3473949939,12.812206023,14.173969667,13.037042425,14.382390388,-0.265459303,-0.216628562,-0.897510384,0.4642532598,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
