DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,15.056353529,0.3493766171,14.251705631,0.3471559162,13.571292396,14.932118866,13.439468365,14.799314231,0.1136679661,0.132314333,-0.548098902,0.8127275682,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-719,15.057083509,0.3493726539,14.25250162,0.3471519449,13.572096168,14.932907072,13.439468365,14.799314231,0.1143979465,0.1331103218,-0.54729513,0.8135157735,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-718,15.05781349,0.3493687158,14.253297609,0.3471479988,13.572899891,14.933695326,13.439468365,14.799314231,0.115127927,0.1339063106,-0.546491407,0.8143040281,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-717,15.05854347,0.3493648028,14.254093598,0.3471440778,13.573703565,14.93448363,13.439468365,14.799314231,0.1158579074,0.1347022995,-0.545687733,0.815092332,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-716,15.059273451,0.3493609149,14.254889587,0.3471401819,13.57450719,14.935271983,13.439468365,14.799314231,0.1165878878,0.1354982883,-0.544884108,0.815880685,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-715,15.060003431,0.349357052,14.255685575,0.3471363112,13.575310765,14.936060386,13.439468365,14.799314231,0.1173178683,0.1362942772,-0.544080533,0.8166690874,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-714,15.060733411,0.3493532143,14.256481564,0.3471324656,13.576114291,14.936848837,13.439468365,14.799314231,0.1180478487,0.137090266,-0.543277007,0.8174575389,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-713,15.061463392,0.3493494017,14.257277553,0.3471286451,13.576917768,14.937637338,13.439468365,14.799314231,0.1187778291,0.1378862549,-0.54247353,0.8182460397,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-712,15.062193372,0.3493456141,14.258073542,0.3471248497,13.577721196,14.938425888,13.439468365,14.799314231,0.1195078095,0.1386822437,-0.541670102,0.8190345898,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-711,15.062923353,0.3493418517,14.258869531,0.3471210795,13.578524574,14.939214487,13.439468365,14.799314231,0.12023779,0.1394782325,-0.540866724,0.8198231891,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-710,15.063653333,0.3493381144,14.25966552,0.3471173344,13.579327903,14.940003136,13.439468365,14.799314231,0.1209677704,0.1402742214,-0.540063395,0.8206118377,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-709,15.064383314,0.3493344021,14.260461508,0.3471136144,13.580131183,14.940791834,13.439468365,14.799314231,0.1216977508,0.1410702102,-0.539260115,0.8214005355,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-708,15.065113294,0.349330715,14.261257497,0.3471099196,13.580934414,14.941580581,13.439468365,14.799314231,0.1224277313,0.1418661991,-0.538456885,0.8221892826,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-707,15.065843274,0.349327053,14.262053486,0.3471062499,13.581737595,14.942369377,13.439468365,14.799314231,0.1231577117,0.1426621879,-0.537653703,0.822978079,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-706,15.066573255,0.3493234161,14.262849475,0.3471026053,13.582540727,14.943158223,13.439468365,14.799314231,0.1238876921,0.1434581767,-0.536850571,0.8237669246,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-705,15.067303235,0.3493198043,14.263645464,0.3470989859,13.58334381,14.943947118,13.439468365,14.799314231,0.1246176726,0.1442541656,-0.536047488,0.8245558195,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-704,15.068033216,0.3493162176,14.264441453,0.3470953916,13.584146843,14.944736062,13.439468365,14.799314231,0.125347653,0.1450501544,-0.535244455,0.8253447636,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
