TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,15.080188668,0.3519298926,14.315581083,0.3495875559,13.630401912,15.000760254,13.588349262,14.954477499,0.032396375,0.0441677026,-0.641011468,0.7293468736,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-719,1,15.080409888,0.3519136358,14.315956948,0.3495712663,13.630809704,15.001104193,13.588349262,14.954477499,0.0326175952,0.0445435681,-0.640603676,0.7296908122,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-718,1,15.080631108,0.3518974805,14.316332814,0.3495550785,13.631217297,15.00144833,13.588349262,14.954477499,0.0328388154,0.0449194336,-0.640196083,0.7300349502,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-717,1,15.080852328,0.3518814268,14.316708679,0.3495389924,13.631624691,15.001792668,13.588349262,14.954477499,0.0330600356,0.0452952992,-0.639788689,0.7303792875,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-716,1,15.081073548,0.3518654746,14.317084545,0.349523008,13.632031885,15.002137205,13.588349262,14.954477499,0.0332812558,0.0456711647,-0.639381495,0.7307238242,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-715,1,15.081294769,0.3518496241,14.317460411,0.3495071254,13.63243888,15.002481941,13.588349262,14.954477499,0.033502476,0.0460470302,-0.6389745,0.7310685604,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-714,1,15.081515989,0.3518338751,14.317836276,0.3494913446,13.632845676,15.002826876,13.588349262,14.954477499,0.0337236961,0.0464228957,-0.638567705,0.731413496,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-713,1,15.081737209,0.3518182278,14.318212142,0.3494756655,13.633252272,15.003172011,13.588349262,14.954477499,0.0339449163,0.0467987613,-0.638161109,0.7317586311,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-712,1,15.081958429,0.3518026821,14.318588007,0.3494600882,13.633658668,15.003517346,13.588349262,14.954477499,0.0341661365,0.0471746268,-0.637754712,0.7321039657,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-711,1,15.082179649,0.3517872381,14.318963873,0.3494446128,13.634064865,15.00386288,13.588349262,14.954477499,0.0343873567,0.0475504923,-0.637348515,0.7324494999,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-710,1,15.08240087,0.3517718958,14.319339738,0.3494292391,13.634470862,15.004208614,13.588349262,14.954477499,0.0346085769,0.0479263578,-0.636942518,0.7327952336,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-709,1,15.08262209,0.3517566551,14.319715604,0.3494139673,13.63487666,15.004554547,13.588349262,14.954477499,0.0348297971,0.0483022234,-0.63653672,0.7331411669,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-708,1,15.08284331,0.3517415161,14.320091469,0.3493987974,13.635282258,15.00490068,13.588349262,14.954477499,0.0350510173,0.0486780889,-0.636131122,0.7334872999,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-707,1,15.08306453,0.3517264788,14.320467335,0.3493837293,13.635687657,15.005247013,13.588349262,14.954477499,0.0352722375,0.0490539544,-0.635725724,0.7338336325,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-706,1,15.08328575,0.3517115433,14.3208432,0.349368763,13.636092855,15.005593545,13.588349262,14.954477499,0.0354934576,0.0494298199,-0.635320525,0.7341801647,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-705,1,15.083506971,0.3516967094,14.321219066,0.3493538987,13.636497855,15.005940277,13.588349262,14.954477499,0.0357146778,0.0498056854,-0.634915526,0.7345268967,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-704,1,15.083728191,0.3516819774,14.321594931,0.3493391362,13.636902654,15.006287209,13.588349262,14.954477499,0.035935898,0.050181551,-0.634510726,0.7348738283,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-703,1,15.083949411,0.351667347,14.321970797,0.3493244757,13.637307254,15.00663434,13.588349262,14.954477499,0.0361571182,0.0505574165,-0.634106127,0.7352209597,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-702,1,15.084170631,0.3516528185,14.322346662,0.3493099171,13.637711653,15.006981671,13.588349262,14.954477499,0.0363783384,0.050933282,-0.633701727,0.7355682909,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-701,1,15.084391851,0.3516383917,14.322722528,0.3492954605,13.638115853,15.007329202,13.588349262,14.954477499,0.0365995586,0.0513091475,-0.633297527,0.7359158219,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-700,1,15.084613071,0.3516240667,14.323098393,0.3492811058,13.638519854,15.007676933,13.588349262,14.954477499,0.0368207788,0.0516850131,-0.632893527,0.7362635527,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
